2026-03-19 22:31:43,383 | INFO | ==== INICIANDO RPA REPORT BOT ====
2026-03-19 22:31:47,248 | INFO | Abrindo navegador...
2026-03-19 22:31:52,347 | INFO | Coletando dados da página...
2026-03-19 22:31:52,630 | INFO | 10 registros coletados
2026-03-19 22:31:52,630 | INFO | Iniciando tratamento de dados...
2026-03-19 22:31:52,630 | INFO | Dados processados com sucesso
2026-03-19 22:31:52,630 | INFO | Gerando arquivo Excel...
2026-03-19 22:31:52,995 | INFO | Arquivo gerado: output/relatorio_20260319_223152.xlsx
2026-03-19 22:31:52,995 | INFO | Fechando navegador...
2026-03-19 22:31:55,183 | INFO | ==== PROCESSO FINALIZADO ====
2026-03-19 22:44:38,030 | INFO | Abrindo navegador...
2026-03-19 22:44:44,264 | INFO | Coletando dados da página...
2026-03-19 22:44:47,728 | INFO | 10 registros coletados
2026-03-19 22:44:49,832 | INFO | Iniciando tratamento de dados...
2026-03-19 22:44:51,833 | INFO | Dados processados com sucesso
2026-03-19 22:44:53,940 | INFO | Gerando arquivo Excel...
2026-03-19 22:44:56,130 | INFO | Arquivo gerado: output/relatorio_20260319_224454.xlsx
2026-03-19 22:44:56,173 | ERROR | Erro geral no processo: [WinError 2] O sistema não pode encontrar o arquivo especificado: 'output/relatorio_20260319_224454.xlsx'
2026-03-19 22:44:56,173 | INFO | Fechando navegador...
2026-03-19 22:45:39,456 | INFO | Abrindo navegador...
2026-03-19 22:45:44,093 | INFO | Coletando dados da página...
2026-03-19 22:45:47,401 | INFO | 10 registros coletados
2026-03-19 22:45:49,505 | INFO | Iniciando tratamento de dados...
2026-03-19 22:45:51,507 | INFO | Dados processados com sucesso
2026-03-19 22:45:53,613 | INFO | Gerando arquivo Excel...
2026-03-19 22:45:55,866 | INFO | Arquivo gerado: output/relatorio_20260319_224554.xlsx
2026-03-19 22:45:55,887 | ERROR | Erro geral no processo: [WinError 2] O sistema não pode encontrar o arquivo especificado: 'output/relatorio_20260319_224554.xlsx'
2026-03-19 22:45:55,888 | INFO | Fechando navegador...
2026-03-19 22:53:16,571 | INFO | Abrindo navegador...
2026-03-19 22:53:21,738 | INFO | Coletando dados da página...
2026-03-19 22:53:25,038 | INFO | 10 registros coletados
2026-03-19 22:53:27,126 | INFO | Iniciando tratamento de dados...
2026-03-19 22:53:29,127 | INFO | Dados processados com sucesso
2026-03-19 22:53:31,213 | INFO | Gerando arquivo Excel...
2026-03-19 22:53:33,413 | INFO | Arquivo salvo com sucesso: c:\Users\Paulo\Desktop\POO\rpa_report_bot\output\relatorio_20260319_225332.xlsx
2026-03-19 22:53:35,228 | INFO | Fechando navegador...
