2026-03-22 16:31:33,060 | INFO | Abrindo navegador...
2026-03-22 16:31:38,843 | INFO | Coletando dados...
2026-03-22 16:31:43,139 | INFO | 10 registros coletados
2026-03-22 16:31:45,370 | INFO | Processando dados...
2026-03-22 16:31:47,371 | INFO | Dados processados com sucesso
2026-03-22 16:31:49,603 | INFO | Gerando Excel...
2026-03-22 16:31:52,032 | INFO | Arquivo salvo: C:\Users\Paulo\Desktop\POO\rpa_report_bot\output\relatorio_20260322_163150.xlsx
2026-03-22 16:31:53,917 | INFO | Fechando navegador...
2026-03-22 23:03:55,062 | INFO | Abrindo navegador...
2026-03-22 23:04:02,121 | INFO | Coletando dados...
2026-03-22 23:04:06,409 | INFO | 10 registros coletados
2026-03-22 23:04:08,600 | INFO | Processando dados...
2026-03-22 23:04:10,602 | INFO | Dados processados com sucesso
2026-03-22 23:04:12,794 | INFO | Gerando Excel...
2026-03-22 23:04:15,057 | INFO | Arquivo salvo: C:\Users\Paulo\Desktop\POO\rpa_report_bot\output\relatorio_20260322_230413.xlsx
2026-03-22 23:04:15,112 | ERROR | Erro: TextIOWrapper.write() takes no keyword arguments
2026-03-22 23:04:16,776 | INFO | Fechando navegador...
2026-03-22 23:05:28,153 | INFO | Abrindo navegador...
2026-03-22 23:05:35,133 | INFO | Coletando dados...
2026-03-22 23:05:39,444 | INFO | 10 registros coletados
2026-03-22 23:05:41,635 | INFO | Processando dados...
2026-03-22 23:05:43,637 | INFO | Dados processados com sucesso
2026-03-22 23:05:45,826 | INFO | Gerando Excel...
2026-03-22 23:05:48,021 | INFO | Arquivo salvo: C:\Users\Paulo\Desktop\POO\rpa_report_bot\output\relatorio_20260322_230546.xlsx
2026-03-22 23:05:48,072 | ERROR | Erro: TextIOWrapper.write() takes no keyword arguments
2026-03-22 23:05:49,730 | INFO | Fechando navegador...
